user_id,timestamp,ip,city,lat,lon,success,label
user_0000,2026-01-08 17:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-01-10 06:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-01-11 16:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-01-12 15:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-01-13 10:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-01-14 03:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-01-16 15:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-01-17 01:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-01-17 10:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-01-18 03:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-01-19 12:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-01-20 23:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-01-23 21:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-01-24 06:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-01-25 13:00:00,216.205.10.74,Mumbai,19.076,72.8777,1,normal
user_0000,2026-07-03 00:00:00,58.61.22.243,Sydney,-33.8688,151.2093,1,normal
user_0000,2026-07-03 00:13:00,198.147.39.241,Tokyo,35.6762,139.6503,1,impossible_travel
user_0000,2026-08-18 00:00:00,216.243.161.155,Delhi,28.7041,77.1025,1,normal
user_0000,2026-08-19 08:00:00,45.231.191.27,Mumbai,19.076,72.8777,1,normal
user_0001,2026-02-28 15:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0001,2026-03-02 08:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0001,2026-03-02 14:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0001,2026-03-03 16:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0001,2026-03-06 04:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0001,2026-03-08 05:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0001,2026-03-09 22:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0001,2026-03-10 23:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0001,2026-03-12 08:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0001,2026-03-14 09:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0001,2026-03-15 04:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0001,2026-03-15 21:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0001,2026-03-18 03:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0001,2026-03-18 21:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0001,2026-03-21 00:00:00,70.143.71.233,Tokyo,35.6762,139.6503,1,normal
user_0002,2026-05-27 00:00:07,212.121.13.166,Mumbai,19.076,72.8777,0,normal
user_0002,2026-05-27 00:00:16,212.121.13.166,Mumbai,19.076,72.8777,0,normal
user_0002,2026-06-05 15:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0002,2026-06-06 02:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0002,2026-06-08 18:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0002,2026-06-09 15:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0002,2026-06-11 21:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0002,2026-06-12 13:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0002,2026-06-14 08:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0002,2026-06-16 12:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0002,2026-06-17 18:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0002,2026-06-18 08:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0002,2026-06-18 19:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0002,2026-06-20 06:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0002,2026-06-22 01:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0002,2026-06-22 17:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0002,2026-06-24 04:00:00,203.75.32.207,Singapore,1.3521,103.8198,1,normal
user_0003,2026-04-09 17:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0003,2026-04-12 09:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0003,2026-04-14 13:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0003,2026-04-15 15:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0003,2026-04-17 20:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0003,2026-04-19 23:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0003,2026-04-21 07:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0003,2026-04-22 23:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0003,2026-04-23 14:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0003,2026-04-24 17:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0003,2026-04-26 06:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0003,2026-04-27 08:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0003,2026-04-30 01:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0003,2026-05-02 07:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0003,2026-05-03 23:00:00,208.244.25.77,Mumbai,19.076,72.8777,1,normal
user_0004,2026-06-26 23:00:00,65.178.195.236,London,51.5074,-0.1278,1,normal
user_0004,2026-06-27 12:00:00,65.178.195.236,London,51.5074,-0.1278,1,normal
user_0004,2026-06-28 23:00:00,65.178.195.236,London,51.5074,-0.1278,1,normal
user_0004,2026-06-29 09:00:00,65.178.195.236,London,51.5074,-0.1278,1,normal
